,filename,content
35,136441742-Rental-Agreement-Format,Whereas the Tenant for want of Residentialpurpose approached the owner to let out the premises on monthly rental and the owner agreed for the same under the following terms and conditions 2 -2- NOW
36,136441742-Rental-Agreement-Format,THIS AGREEMENT
37,136441742-Rental-Agreement-Format,WITNESSETH
38,136441742-Rental-Agreement-Format,AS FQLLCWS 1
39,136441742-Rental-Agreement-Format,The tenancy shall commence from 11 04 2012 and initially valid for a period of eleven months and may be renewed with 5 enhanced rent for further periods before the expiry of this agreement after mutual consent between the parties 2
40,136441742-Rental-Agreement-Format,The tenant shall pay a monthly rent of 15 000/- to the owner on or - before 5th of every succeeding month as per the english calendar month 3
41,136441742-Rental-Agreement-Format,The tenant has paid a total sum of 1 50 000/- to the owner towards advance/security deposit
42,136441742-Rental-Agreement-Format,This sum shall carry no interest but refundable to the tenant at the time of vacating the premises after deductions for damages and dues if any Re painting cost 0ne M nth Rent 4
43,136441742-Rental-Agreement-Format,The tenant sliall pay for the electricity charges separately and water charges separately 5
44,136441742-Rental-Agreement-Format,The Owner/Tenant shall give to the Tenant/Cwner llU0 2 month advance notice for vacating of the premises 6
45,136441742-Rental-Agreement-Format,The Tenant shall allow inspection by the owner during all reasonable hours and the tenant shall not re-lease or alter the premises and shall while vacating the same shall hand over it to the owner only in the same condition in which it was occupied save normal wear and tear 7
46,136441742-Rental-Agreement-Format,The tenant shall maintain the premises in good and tenantable condition during the tenancy period - -n as the tenant vacates even before the agreed period of eleven months then the owner shall deduct 15 000/-towards brokerage SCHEDULE OF THE PRExMISES rLAT
47,136441742-Rental-Agreement-Format,no B503 NESTER RAGA APARTMENTS
48,136441742-Rental-Agreement-Format,MAHADEVAPURA 0PPSITE
49,136441742-Rental-Agreement-Format,MORE MEGA STORE BANGALORE-560 048
50,136441742-Rental-Agreement-Format,Consisting of 3BHK Fitted with Cfans- Geyser-1 Tlights- Efan IN WITNESS
51,136441742-Rental-Agreement-Format,WHERFop -v
52,136441742-Rental-Agreement-Format,on the day month1 j eand Tenant have signed this agreement w and year first above mentioned WITNESSES 1 X r OWNER 2
53,136441742-Rental-Agreement-Format,Vi nfrl
54,142106117-Rental-Agreement,RENTAL AGREEMENT
55,142106117-Rental-Agreement,This agreement of Tenancy is made and executed at Chennai on 1st day of September 2011 1-3-2011 BETWEEN k Sarguneswaran s/o G Kasinath Rao aged about 54 years residing at No 20/3
56,142106117-Rental-Agreement,Venkateswara nagar IstMain road
57,142106117-Rental-Agreement,Velachery Chennai - 42 Tamil Nadu Hereinafter referred as the OWNER AND R Mathankumar s
58,142106117-Rental-Agreement,/o Ramasamy aged 28 years New
59,142106117-Rental-Agreement,No 88 01d
60,142106117-Rental-Agreement,No 62 Madha kovil street Ganesapuram Namakkal- 637001
61,142106117-Rental-Agreement,Hereinafter referred as the TENANT whereas the Tenant has requested the Owner to let out the premises bearing address
62,142106117-Rental-Agreement,No 20/3
63,142106117-Rental-Agreement,Venkateswara nagar 1st
64,142106117-Rental-Agreement,Main road Velachery Chennai -
65,142106117-Rental-Agreement,42 Tamil Nadu
66,142106117-Rental-Agreement,In consideration of the rent hereinafter reserved and the conditions hereinafter stated Now
67,142106117-Rental-Agreement,this agreement witnesses as follows 1
68,142106117-Rental-Agreement,The Tenant shall pay a monthly rent of 7200 on or before 5 th day of every month 2
69,142106117-Rental-Agreement,The Tenant has deposited with Owner 40 000 as advance and security deposit which the Owner hereby acknowledges the said sum shall carry no interest but refundable to the Tenant on the termination of the tenancy 3
70,142106117-Rental-Agreement,The tenancy shall be in force for a period of eleven months from the above said date and the month of tenancy being the English calendar month 4 The Owner shall have the right to terminate the tenancy if the Tenant fails to pay the rent regularly for a consecutive period of two or more months or commits breach of any of the terms herein 5
71,142106117-Rental-Agreement,The Tenant shall use the premises only for residential purpose and shall not use it for any offensive or objectionable purpose and shall not any consent of the Owner hereby a sublet under lease or part
72,142106117-Rental-Agreement,the possession of the any whomsoever or make any alteration therein 6
73,142106117-Rental-Agreement,The Owner shall allow the Tenant peaceful possession of any enjoyment of the premises during the continuance of tenancy provided the Tenant acts up to the terms of this agreement 2 7
74,142106117-Rental-Agreement,The Tenant shall not cause any damage to the fixed fixtures on the above said property Any damage cause shall be repaired at the cost of the Tenant 8
75,142106117-Rental-Agreement,The Tenant shall pay electricity bill of 4/unit separately 9
76,142106117-Rental-Agreement,It is hereby agreed that one month notice on either side is required for the termination of the tenancy 10 The tenancy shall be renewed for further period/
77,142106117-Rental-Agreement,s mutually agreed between parties on the terms and conditions Fittings Tube Lights 2 Fans 2 in witnesses whereof the parties have set their respective hands onto this agreement of the day the month the year first above written Witnesses 1 Owner Tenant
78,170499354-Anand-Nagar-Agreement,RENTAL AGREEMENT RENTAL AGREEMENT
79,170499354-Anand-Nagar-Agreement,This RENTAL AGREEMENT is made and executed at Bangalore on this 5th day of April 2012 between Mrs PADMAVATI 154/2 1st floor 9th
80,170499354-Anand-Nagar-Agreement,Cross Byrasandra Main Road G
81,170499354-Anand-Nagar-Agreement,M Palya Bangalore - 560 075 hereinafter called the OWNER of one part Mrs SANGHAMITRA PARIDA Working at Sasken CommunicationTechnologies Ltd 139/25
82,170499354-Anand-Nagar-Agreement,Ring Road Domlur Bangalore 560 071 hereinafter called the TENANT of the other part
83,170499354-Anand-Nagar-Agreement,Whereas the Tenant has Requested the Owner to let out a house 154/2 Ground floor 9th
84,170499354-Anand-Nagar-Agreement,Cross Byrasandra Main Road G
85,170499354-Anand-Nagar-Agreement,M Palya Bangalore - 560 075
86,170499354-Anand-Nagar-Agreement,In consideration of the rent hereinafter reserved and the condition herein after stated NOW
87,170499354-Anand-Nagar-Agreement,THIS AGREEMENT WITNESSETH
88,170499354-Anand-Nagar-Agreement,AS FOLLOWS 1
89,170499354-Anand-Nagar-Agreement,The Tenant shall pay a monthly rent of 8000 on or before 5th of every month
90,170499354-Anand-Nagar-Agreement,Rent will be start from at the time of occupation The rent enhancement shall be increased at 10 after 11 months 2
91,170499354-Anand-Nagar-Agreement,The Tenant has to pay the security deposit amount of 60000
92,170499354-Anand-Nagar-Agreement,The Tenant paid cash 60000/- Dated 05/04/2012 will be paid at time of occupation
93,170499354-Anand-Nagar-Agreement,The owner acknowledges the receipt of the same The security deposit amount of 60000 shall not carry any interest but will be refundable to the Tenant on the termination of Tenancy After deducting any dues in rent/electricity/damages etc 3
94,170499354-Anand-Nagar-Agreement,The Tenancy shall be in force for the period of 11 Months from the 5th April of 2012 month of tenancy being the English Calendar month 4
95,170499354-Anand-Nagar-Agreement,The owner shall have the right to terminate the tenancy if the tenant fails to pay the rent regularly for a consecutive period of two months or commits breach of any of the terms herein and take possession of the premises 5 The Tenant shall use the premises only for Residential purpose and shall not use it any offensive or objectionable purposes business etc without permission of the Owner
96,170499354-Anand-Nagar-Agreement,The Tenant shall keep the premises neatly in tenentable condition and shall not make any alteration therein without permission of the Owner Also any damges happened during the stay
97,170499354-Anand-Nagar-Agreement,the cost for the damages and assocites expenses shall be recovered in the advance or extra 6
98,170499354-Anand-Nagar-Agreement,The Tenant shall pay Electricity and water charges separately to the concerned authority and the owner shall pay the property taxes 7
99,170499354-Anand-Nagar-Agreement,The tenancy may be renewed for further period/
100,170499354-Anand-Nagar-Agreement,s mutually agreed between the parties on the terms and conditions to be specified at that time 8
101,170499354-Anand-Nagar-Agreement,It is hereby agreed that one-month notice on either side is required for the termination of tenancy 9
102,170499354-Anand-Nagar-Agreement,The tenant shall pay one month rent towards painting and cleaning charges at the time of vacating the schedule premises 10
103,170499354-Anand-Nagar-Agreement,The foilwing fixures and accesariesr are provided by the owner in good condition
104,170499354-Anand-Nagar-Agreement,the same shall be in operatable conditions while leaving Ceiling fans-Khaitan3Nos
105,170499354-Anand-Nagar-Agreement,Tube lights-
106,170499354-Anand-Nagar-Agreement,Surya3Nos
107,170499354-Anand-Nagar-Agreement,Exhaust fans1No Bulbs5Nos
108,170499354-Anand-Nagar-Agreement,SCHEDULE
109,170499354-Anand-Nagar-Agreement,All the piece and parcel of the house premises 154/2 Ground floor
110,170499354-Anand-Nagar-Agreement,9th Cross
111,170499354-Anand-Nagar-Agreement,Byrasandra Main Road G M Palya Bangalore - 560 075 consisting of 1 Hall 1 Kitchen 2 Bed rooms 1 Bath Toilet IN WITNESS
112,170499354-Anand-Nagar-Agreement,WHEREOF the parties have set their respective hands unto this agreement the day and year first above written WITNESSES 1 OWNER 2 TENANT
113,175488575-House-Rental-Agreement,LEASE AGREEMENT LEASE AGREEMENT
114,175488575-House-Rental-Agreement,This DEED OF RENTAL AGREEMENT EXECUTED AT LANGKAWI KEDAH DARUL AMAN MALAYSIA ON 15 SEPTEMBER 2012 between ROHANI BINTI ISMAIL MALAYSIAN
115,175488575-House-Rental-Agreement,I C
116,175488575-House-Rental-Agreement,NO 621118025556 who is the absolute owner of the building bearing NO 73 A KG BUKIT NAU PADANG MATSIRAT 07100
117,175488575-House-Rental-Agreement,LANGKAWI hereafter called the FIRST PARTY OF ONE PART AND
118,175488575-House-Rental-Agreement,SECOND PARTY NAME NAME ADDRESS Hereafter called THE SECOND PARTY OF OTHER PART WITNESSETH as follows Whereas THE PREMISE - NO 73 A KG BUKIT NAU PADANG MATSIRAT 07100
119,175488575-House-Rental-Agreement,LANGKAWI KEDAH DARUL AMAN is absolutely owned by the FIRST PARTY herein and WHEREAS
120,175488575-House-Rental-Agreement,THE SECOND PARTY approached the FIRST PARTY and requested her to let out the above said premises on monthly rent for residing purpose the FIRST PARTY agreed to let out the above said premises under the terms and conditions hereinafter stated - 1
121,175488575-House-Rental-Agreement,The tenancy shall begin from 01 09 2012 and shall before a duration of 12 months
122,175488575-House-Rental-Agreement,i e
123,175488575-House-Rental-Agreement,01 09 2012
124,175488575-House-Rental-Agreement,to 31 08 2013 2
125,175488575-House-Rental-Agreement,The monthly rent shall be RM600-00 Per Month and payable by the SECOND PARTY during the course of FIRST WEEK of every month 3
126,175488575-House-Rental-Agreement,The FIRST PARTY acknowledges the receipt of RM1700 00 paid by the SECOND PARTY in cash on signing of the rental agreement This amount shall be treated as house deposit RM600-00
127,175488575-House-Rental-Agreement,electricity-water deposit RM500-00 and first monthly rental payment RM600-00
128,175488575-House-Rental-Agreement,The house deposit and electricity-water deposit shall be returned to the SECOND PARTY on his vacation of the premises after deducting all the amounts due and payable if any by the SECOND PARTY to the FIRST PARTY on the date of the vacation of the premises by the SECOND PARTY
129,175488575-House-Rental-Agreement,This amount dies not carry any interest 4
130,175488575-House-Rental-Agreement,The SECOND PARTY further agrees to use the premises for his own residing purpose only and shall not sublet the same or assign his rights of tenancy to third parties without written permission from the FIRST PARTY 5
131,175488575-House-Rental-Agreement,The SECOND PARTY further agrees to bear the charges connected with the electricity consumes by him and also water charges etc and agrees to pay the same along with the monthly rent on monthly basis 6
132,175488575-House-Rental-Agreement,The SECOND PARTY shall not make any structural alteration to the premises or put up partition wall etc without written permission from the FIRST PARTY and shall use the premises prudently without causing damage or deterioration to the building and hand over the premises at the expiry of the lease period to the FIRST PARTY and receive back the deposit amount RM1100 00
133,175488575-House-Rental-Agreement,after due deductions of the money due and payable if any be the SECOND PARTY 7
134,175488575-House-Rental-Agreement,It is definitely understood between the parties under this contact that irrespective of the time stipulated under this lease agreement if the SECOND PARTY commits default in paying the monthly rent for continuous period of one month
135,175488575-House-Rental-Agreement,the FIRST PARTY is at liberty to terminate the RENTAL AGREEMENT unilaterally without giving notice to the SECOND PARTY and resume possession of the premises and return the deposit amount without interest after deduction of amounts due and payable by the SECOND PARTY including all the damages and other expenses sustained by the FIRST PARTY in getting the vacant possession of the premises 8
136,175488575-House-Rental-Agreement,The SECOND PARTY shall enjoy the peaceful occupation of the premises and maintain the same in reasonable good
137,175488575-House-Rental-Agreement,the habitable condition 9
138,175488575-House-Rental-Agreement,In case
139,175488575-House-Rental-Agreement,the SECOND PARTY desires to vacate the premises he should give notice of ONE calendar month in writing and similarly the FIRST PARTY should give ONE month notice in writing 10 1 -Signature of owner 1- Signature of witness
140,175488575-House-Rental-Agreement,The owner will have right to enter the let out built in area for verification or inspection of this structure at reasonable times and carry out repairs in necessary 2-Signature of hirer
141,175488575-House-Rental-Agreement,2- Signature of witness
142,18325926-Rental-Agreement-1,RENTAL AGREEMENT 1
143,18325926-Rental-Agreement-1,2 RENTAL AGREEMENT
144,18325926-Rental-Agreement-1,This deed of rental agreement executed at Bangalore this fifth day of December 2008 between MR K Kuttan S/
145,18325926-Rental-Agreement-1,o Kelu Aehari residing at site
146,18325926-Rental-Agreement-1,No 152 Geethalayam OMH colong S M Road 1st
147,18325926-Rental-Agreement-1,main T Dasarahalli Bangalore-57
148,18325926-Rental-Agreement-1,Here after called the lessor which term shall where the contest so admits mean and includes his legal heirs representatives executors and assign and Sri P M Narayana Namboodri Laxmi Leela ground floor 3rd cross Ayyappa Nagar behind Ayyappa Temple Jalahalli West Bangalore - 15 referred as tenant which term shall wherever the context so admits mean and includes his legal heirs representations executors assign witnesses
149,18325926-Rental-Agreement-1,Whereas the lessor is the absolute owner after premises at site No 8/20
150,18325926-Rental-Agreement-1,S M Road Jalahalli West Bangalore - 15
151,18325926-Rental-Agreement-1,and he has constructed approximate 500 sft area of Ilnd floor with A C Sheet roof with power light in the above
152,18325926-Rental-Agreement-1,said premises Where as the owner has offered to let out the premises for non residential purpose where as the tenant has offered to take the said premises on rent for non residential purpose namely for MAHALAKSHMI INDUSTRIAL CONSULTANT and tenant is the Proprietor of the business
153,18325926-Rental-Agreement-1,and he has agreed to pay rent 4 000 00 for above
154,18325926-Rental-Agreement-1,said premises with the following terms and conditions -
155,18325926-Rental-Agreement-1,The agreement made only for eleven months from this date of agreement Fresh agreement with mutual terms and conditions have to be extended
156,18325926-Rental-Agreement-1,6 p c is expecting every eleventh month 2
157,18325926-Rental-Agreement-1,The tenant shall pay the rent above said on before 10th of each month 3 An advance amount of 35 000/- is paid by the tenant to the owner at the time of commencement of this agreement the receipt where of is hereby acknowledged signing this agreement by the owner
158,18325926-Rental-Agreement-1,The advance shall not carry any interest and refundable to the tenant at the time of vacating the schedule premises
159,18325926-Rental-Agreement-1,Any arrears of rent electricity and water dues is permissible to deduct from the advance 4 Each party shall be liable to give three month advance notice for the termination of this agreement 5
160,18325926-Rental-Agreement-1,The tenant shall pay the electricity and water charges within one week from the date of receipt of the bills 6 the tenant shall at the termination of this agreement
161,18325926-Rental-Agreement-1,have to remove superstructure if any put by the tenant at his own expenses and deliver the possession to the owner in good and tenable condition 7
162,18325926-Rental-Agreement-1,The tenant shall himself obtain the license for the business top be carried on by him 8
163,18325926-Rental-Agreement-1,The tenant shall not sublet or underlet the demised portion or any part there of to any third party 9
164,18325926-Rental-Agreement-1,The building owner shall not in any case be held responsible with for any kind of theft burglary fire or accident within the portion of the building 10 All kinds of security arrangements
165,18325926-Rental-Agreement-1,insurances etc will have to be done by the tenant if necessary 11
166,18325926-Rental-Agreement-1,The tenant shall keep good relationship with neighbors Building Portion North by South by East by West by In witnesses where of the parties here under on the day month year first above mentioned In site No 8/20
167,18325926-Rental-Agreement-1,AGS building Ilnd Floor
168,18325926-Rental-Agreement-1,Private building Half portion of the building
169,18325926-Rental-Agreement-1,Private building S M Road set their hands and signature to this deed SIIIDIII WITNESSES OWNERTENANT 1
170,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,RENTAL- AGREEMENT
171,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,This RENTAL AGREEMENT IS made and executed on 06th day of March 2013 at Hyderabad By and between Smt C BHAGYAMMA
172,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,w/o C GOVARDHAN REDDY age about 52 years Occ Housewife R/
173,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,O H N04-8-38 Manjeera Nagar Sangareddy Mandal Medak District AP HEREINAFTER CALLED
174,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,THE FIRST PARTY
175,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,THE OWNER WHICH TERM SHALL MEAN AND INCLUDE ALL
176,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,HIS HER HEIRS EXECUTORS ADMINISTRATORS LEGAL REPRESENTATIVES AND ASSIGNEES AND
177,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,M/S JP
178,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,INTERIO M/S
179,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,SRI JAYAM
180,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,HOUSING CONSTRUCTIONS M/S
181,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,SRI JAYAM HOUSING CONSTRUCTIONS Pvt Ltd represented by its Managing Director Managing partner B JAYA PRAKASH S/
182,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,O B JAGANNADHA RAO aged about 33 years Occ Business R/
183,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,O BHEL-LIG-6 Ramachandrapuram Medak District AP HEREINAFTER CALLED
184,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,THE SECOND PARTY
185,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,THE TENANT WHICH TERM SHALL MEAN
186,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,AND INCLUDE ALL HIS/HER HEIRS EXECUTORS ADMINISTRATORS LEGAL REPRESENTATIVES AND ASSIGNEES Contd
187,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,2 2
188,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,Whereas the second party was in search of a suitable accommodation for his business purpose by name and style of M/S JP
189,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,INTERIO M/S
190,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,SRI JAYAM
191,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,HOUSING CONSTRUCTIONS M/S
192,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,SRI JAYAM HOUSING CONSTRUCTIONS Pvt Ltd and being satisfied with the FLAT NO
193,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,204 2nd
194,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,Floor
195,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,BR s
196,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,Sharada Hema durga Galaxy Situated Chandanagar Hydearabad-500 050
197,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,Ranga Reddy District Andhra Pradesh
198,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,Whereas the first party got the Flat No 204 llnd Floor
199,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,BR s Sharada Hema Durga Galaxy Situated Chandanagar Hydearabad-500 050 Ranga Reddy District Andhra Pradesh and offered to let out on Rent
200,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,the said Flat NO 204 llnd Floor BR Sharada Hema durga Galaxy situated at Chandanagar Hyderabad-500 050
201,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,Ranga Reddy District Andhra Pradesh to the second party for his business Purpose on the terms and conditions agreed upon by both the parties as mentioned below NOW
202,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,THE AGREEMENT WITHNESSESTH AS
203,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,UNDER 1
204,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,This tenancy is for a period of 11 months commencing from 06th day of April 2013 the date on which possession of the said flat is delivered and time to time it will be extended the tenancy period with consent of both parties
205,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,2
206,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,The monthly Flat Rent is of RS 13 000/- per month and payable within the 10th day of same month 3
207,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,The tenant paid an amount of 36 000/- by the way of cash as the advance which will not carry any interest and is refundable at the time of vacating the said Flat 4
208,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,The tenant shall pay the electricity charges maintenance charges of the said flat regularly without any dues 5
209,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,The first arty desires to terminate the tenancy for any reason or the second arty desires to vacate the said Flat can be terminated by ONE month notice on either side 6
210,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,The sad flat will be used only for Business purpose and it will be in a proper Tenantable Condition 7
211,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,The said Flat shall keep the premises with all fixtures
212,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,Electrical installations etc
213,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,In condition as it is let subject to
214,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,reasonable wear tear 8
215,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,That the tenant herein shall not store any dangerous or highly inflammable material in the demised premises at any time 9
216,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,At all times during the term of tenancy to keep and maintain the premises clean Tidy Healthy in and watertight in all seasons and further in good and substantial repair reasonable wear tear expected The terms and conditions arrived at above by
217,195231682-This-RENTAL-AGREEMENT-is-Made-and-Executed-on-24th-Day-of-September,both the parties are with their own free will and consent and without any coercion or dues from anybody WITNESSES OWNER l 2 TENANT
218,203615996-Rental-Agreement-Format,RENTAL AGREEMENT RENTAL AGREEMENT
219,203615996-Rental-Agreement-Format,This Agreement of Tenancy is made and executed at Bangalore on this the 1st day of February 2008 by and between Mr T RADHA KRISHNAN
220,203615996-Rental-Agreement-Format,No-57
221,203615996-Rental-Agreement-Format,1st floor Hemalaya Golf view layout Murugeshpalya Bangalore-17 Hereinafter referred to as the OWNER of the one part and Mr AIilllJIT BHARADWAJ C/oS
222,203615996-Rental-Agreement-Format,R S
223,203615996-Rental-Agreement-Format,Sharath
224,203615996-Rental-Agreement-Format,No-401 Shri ram shankari Apt Banashankari 3rd stage Kathiguppe Bangalore-85 Ph-080-26727961 Mobile 9886463146
225,203615996-Rental-Agreement-Format,Working for i2
226,203615996-Rental-Agreement-Format,Technologies India Pvt Ltd
227,203615996-Rental-Agreement-Format,132/133
228,203615996-Rental-Agreement-Format,Divya sree Technopolis Yamalur post off
229,203615996-Rental-Agreement-Format,airport Road Bangalore-37 Hereinafter referred to as the TENANT of the Other Part Consideration of the rent hereinafter reserved and the conditions hereinafter stated NOW
230,203615996-Rental-Agreement-Format,THIS AGREEMENT
231,203615996-Rental-Agreement-Format,WITNESSETH
232,203615996-Rental-Agreement-Format,AS FOLLOWS 1
233,203615996-Rental-Agreement-Format,The tenant shall pay a monthly rent of 3 500/- on or before 5th of every month Including Maintenance charges water Electricity 2
